step,total_energy,total_revenue
408,1113840.169162706,151444.7890613752
409,1116026.7019982392,151711.98337387736
410,1118213.2346002306,151979.17765784072
411,1120399.7672022225,152246.3719418041
412,1122586.2998042144,152557.07822454715
413,1124958.6264062063,152894.1858346902
414,1127330.9526366103,153231.29339203055
415,1129703.2788670147,153568.40094937105
416,1132075.6050974193,153819.15583192484
417,1134697.5969784926,154096.30037375426
418,1137319.588859566,154373.44491558374
419,1139941.5807406392,154650.58945741318
420,1142563.5726217127,154868.47698273035
421,1145185.564502786,155086.36450804755
422,1147807.5563838591,155304.25203336473
423,1150429.5482649326,155522.13955868193
424,1153051.5401460058,156100.81316683485
425,1155673.532027079,156679.48677498772
426,1158295.5239081525,157258.16038314058
427,1160917.5157892257,157836.83399129345
428,1163539.5076702992,158244.02933042412
429,1166161.4995513724,158651.22466955482
430,1168783.4914324456,159058.4200086855
431,1171405.483313519,159465.6153478162
432,1174027.4751945923,159880.6766625901
433,1176649.4670756655,160295.73797736398
434,1179271.458956739,160710.79929213788
435,1181893.4508378122,161125.8606069118
436,1184515.4427188856,161501.32984428148
437,1187137.4345999588,161876.79908165117
438,1189759.426481032,162252.2683190209
439,1192381.4183621055,162627.73755639058
440,1195003.4102431787,162725.2756543665
441,1197625.402124252,162822.81375234242
442,1200247.3940053254,162920.35185031837
443,1202869.3858863986,163017.8899482943
444,1205491.377767472,163203.52697347428
445,1208113.3696485453,163389.1639986543
446,1210735.3615296185,163574.80102383427
447,1213357.353410692,163760.43804901425
448,1215979.3452917652,163952.10565552072
449,1218601.3371728384,164143.77326202716
450,1221223.3290539118,164335.44086853362
451,1223845.320934985,164527.10847504006
452,1226467.3128160585,164827.5887446111
453,1229089.3046971317,165128.06901418208
454,1231711.296578205,165428.5492837531
455,1234333.2884592784,165729.0295533241
456,1236955.2803403516,166196.79290490758
457,1239577.2722214248,166664.55625649105
458,1242199.2641024983,167132.31960807453
459,1244821.2559835715,167600.08295965797
460,1247443.247864645,168488.15160977753
461,1250065.2397457182,169376.22025989706
462,1252687.2316267914,170264.2889100166
463,1255309.2235078646,171152.3575601361
464,1257931.215388938,171976.44960835742
465,1260553.2072700113,172800.54165657877
466,1263175.1991510848,173624.63370480013
467,1265797.191032158,174448.72575302146
468,1268419.1829132312,174986.49628782962
469,1271041.1747943047,175524.26682263773
470,1273663.166675378,176062.0373574459
471,1276285.1585564513,176599.80789225403
472,1278907.1504375245,177290.70275291684
473,1281529.1423185978,177981.59761357968
474,1284151.1341996712,178672.4924742425
475,1286773.1260807444,179363.38733490527
476,1289395.117961818,179835.6080726866
477,1292017.109842891,180307.82881046788
478,1294639.1017239643,180780.0495482492
479,1297261.0936050375,181252.27028603049
480,1299883.085486111,181630.8859136575
481,1302505.0773671842,182009.50154128447
482,1305127.0692482577,182388.11716891144
483,1307749.061129331,182766.73279653842
484,1310371.053010404,182969.15056975727
485,1312993.0448914776,183171.56834297616
486,1315615.036772551,183373.98611619498
487,1318237.0286536242,183576.40388941384
488,1320859.0205346975,183889.99411839026
489,1323481.0124157707,184203.5843473666
490,1326103.0042968441,184517.17457634298
491,1328724.9961779173,184830.7648053193
492,1331346.9880589908,184972.8767652735
493,1333968.979940064,185114.98872522768
494,1336590.9718211372,185257.10068518185
495,1339212.9637022105,185399.21264513602
496,1341608.3105266734,185644.7356946435
497,1343713.629711037,185860.53091104073
498,1345818.9494754558,186076.32618689365
499,1347924.2692398732,186292.1214627465
500,1350029.5890042908,186611.07740705574
501,1352115.9337687085,186927.158638865
502,1354202.278571076,187243.2398764237
503,1356288.6233734435,187559.32111398235
504,1358374.968175811,187768.99876662027
